,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
95,8256,3928,0,1316,4864
96,8196,4048,0,1372,4860
97,8076,4260,0,1328,4876
98,7952,4284,0,1332,4880
99,7720,4280,0,1332,4872
100,7356,4464,0,1344,4844
101,7156,4584,0,1348,4848
102,7144,4660,0,1380,4860
103,7128,4728,0,1344,4848
104,6976,4804,0,1360,4844
105,6844,4984,0,1364,4840
106,6740,5112,0,1436,4824
107,6444,5132,0,1356,4812
108,6272,5172,0,1344,4808
109,6240,5152,0,1388,4796
110,6160,5196,0,1364,4780
111,6220,5260,0,1344,4784
112,6080,5292,0,1336,4800
113,6128,5316,0,1336,4792
114,6336,5280,0,1352,4772
115,6500,5248,0,1368,4756
116,6612,5208,0,1340,4780
117,6856,5140,0,1316,4784
118,6980,5096,0,1304,4780
119,7232,5136,0,1312,4780
120,7524,5236,0,1296,4780
121,7704,5388,0,1296,4760
122,7992,5448,0,1312,4764
123,8356,5460,0,1404,4764
124,8528,5432,0,1328,4784
125,8728,5420,0,1396,4792
126,8956,5360,0,1376,4796
127,8932,5356,0,1388,4800
128,8856,5380,4,1388,4808
129,8792,5436,116,1376,4812
130,8768,5456,468,1388,4828
131,8980,5596,1132,1368,4808
132,8920,5856,1944,1388,4832
133,8844,5968,2724,1368,4836
134,8888,6008,3604,1368,4840
135,8960,5812,4300,1400,4828
136,8800,5824,5108,1476,4840
137,8716,6048,5792,1388,4844
138,8652,6140,6436,1388,4852
139,8484,6256,7188,1380,4856
140,8096,6364,7656,1340,4864
141,7892,6428,8100,1328,4844
142,7584,6464,8336,1324,4840
143,7396,6452,8608,1332,4860
144,7216,6380,8796,1396,4868
145,7116,6392,8688,1328,4876
146,6920,6456,8652,1332,4872
147,6756,6400,8312,1328,4864
148,6688,6396,7920,1324,4876
149,7016,6380,7552,1324,4872
150,7184,6368,7044,1400,4872
151,7376,6400,6436,1372,4856
152,7356,6488,5848,1332,4860
153,7400,6504,4888,1464,4856
154,7992,6476,4168,1432,4860
155,8580,6472,3372,1364,4844
156,8832,6352,2508,1320,4848
157,9176,6432,1684,1352,4848
158,9236,6488,976,1368,4856
159,9684,6528,444,1448,4848
160,10012,6516,168,1340,4868
161,10612,6504,40,1380,4868
162,11012,6476,4,1400,4848
163,11384,6508,0,1472,4864
164,11940,6528,0,1408,4880
165,12648,6560,0,1380,4872
166,13300,6624,0,1368,4888
167,13764,6648,0,1368,4868
168,14072,6676,0,1508,4860
169,14732,6676,0,1396,4872
170,15084,6736,0,1348,4872
171,15560,6788,0,1376,4900
172,15852,6796,0,1484,4900
173,16084,6792,0,1476,4904
174,16180,6808,0,1360,4896
175,16344,6788,0,1376,4884
176,16520,6792,0,1424,4880
177,16776,6844,0,1396,4872
178,16828,6896,0,1460,4876
179,17112,6920,0,1372,4880
180,17176,6936,0,1488,4884
181,17412,6968,0,1420,4880
182,17460,6992,0,1444,4848
183,17764,6708,0,1368,4844
184,17496,6684,0,1432,4852
185,17736,6712,0,1388,4852
186,17588,6732,0,1396,4836
187,17548,6740,0,1388,4832
188,17528,6748,0,1404,4832
189,17656,6756,0,1380,4840
190,17908,6760,0,1420,4840
191,18148,6744,0,1344,4836
192,18404,6708,0,1420,4820
193,18812,6720,0,1432,4824
194,19120,6744,0,1464,4824
195,19604,6732,0,1380,4824
196,19948,6736,0,1424,4824
197,20220,6748,0,1388,4804
198,20496,6756,0,1384,4804
199,20672,6748,0,1352,4800
200,20824,6736,0,1480,4796
201,21028,6732,0,1452,4800
202,21252,6668,0,1388,4796
203,21388,6620,0,1356,4800
204,21688,6620,0,1352,4816
205,21876,6628,0,1340,4820
206,22156,6636,0,1324,4804
207,22624,6640,0,1328,4804
208,22872,6640,0,1380,4796
209,23164,6624,0,1328,4772
210,23328,6608,0,1372,4760
211,23476,6600,0,1396,4744
212,23908,6600,0,1492,4768
213,24232,6596,0,1376,4756
214,24268,6620,0,1380,4764
215,24412,6620,0,1416,4772
216,25380,6620,0,1352,4748
217,25672,6632,0,1332,4776
218,25976,6640,0,1344,4772
219,26248,6644,0,1352,4780
220,26264,6644,0,1344,4792
221,26364,6624,0,1348,4820
222,26908,6568,0,1420,4800
223,26996,6492,0,1384,4792
224,27068,6480,4,1428,4800
225,27100,6464,88,1488,4816
226,26664,6404,308,1488,4820
227,26908,6336,624,1488,4836
228,26724,6284,1048,1372,4836
229,26800,6148,1468,1348,4804
230,26768,5836,1932,1348,4800
231,26896,5636,2328,1344,4808
232,26872,5492,2656,1344,4796
233,27428,5472,3028,1340,4828
234,27564,5536,3304,1360,4832
235,27904,5360,3536,1400,4860
236,28008,5124,3740,1412,4848
237,28088,5048,3884,1384,4876
238,28112,4812,4072,1352,4864
239,28076,4580,4228,1352,4872
240,27972,4212,4240,1360,4872
241,27788,3692,4188,1352,4856
242,27652,3512,4056,1388,4864
243,27704,3816,3764,1380,4876
244,27652,3944,3356,1384,4872
245,27560,4200,3048,1364,4864
246,27264,4564,2712,1356,4872
247,27284,5336,2348,1352,4864
248,27064,5840,2044,1512,4852
249,27096,5604,1780,1508,4864
250,27044,5220,1512,1516,4876
251,27032,4888,1236,1524,4880
252,27536,4596,964,1520,4884
253,27704,4504,708,1476,4884
254,27572,4836,476,1436,4884
255,27804,5400,256,1396,4896
256,27800,5860,100,1396,4884
257,27812,5928,24,1488,4920
258,27832,5968,4,1612,4928
259,27924,6184,0,1584,4916
260,27732,6304,0,1412,4916
261,27876,6328,0,1384,4944
262,28760,6180,0,1396,4944
263,29420,5960,0,1448,4948
264,29508,6120,0,1536,4940
265,29848,6016,0,1512,4948
266,30004,5940,0,1436,4952
267,30360,5796,0,1480,4948
268,29964,5964,0,1540,4952
269,29912,6092,0,1404,4944
270,29608,5892,0,1344,4952
271,29072,5660,0,1352,4952
272,28904,5636,0,1376,4948
273,28872,5688,0,1372,4960
274,28776,5844,0,1368,4948
275,28736,5936,0,1428,4940
276,28432,5768,0,1448,4948
277,27880,5924,0,1440,4964
278,27212,5912,0,1456,4956
279,27400,5868,0,1436,4948
280,27040,5928,0,1392,4940
281,26968,6020,0,1384,4924
282,27028,5872,0,1372,4916
283,27100,5808,0,1344,4916
284,26704,5848,0,1368,4904
285,26812,5904,0,1384,4908
286,26504,5884,0,1360,4908
287,26544,5408,0,1400,4900
288,26400,5324,0,1536,4872
289,26340,5328,0,1412,4864
290,26396,5336,0,1436,4872
291,26344,5336,0,1408,4856
292,25992,5120,0,1440,4836
293,25644,4948,0,1468,4796
294,25452,4948,0,1448,4828
295,25080,4940,0,1456,4812
296,24796,4940,0,1476,4840
297,24444,4944,0,1440,4844
298,24200,4940,0,1444,4840
299,24096,4660,0,1440,4844
300,24076,4656,0,1424,4844
301,24280,4656,0,1416,4836
302,24324,4708,0,1412,4828
303,24500,4856,0,1384,4832
304,24736,4920,0,1420,4832
305,25088,5056,0,1436,4832
306,25488,5060,0,1456,4840
307,25984,5060,0,1400,4836
308,26444,5060,0,1428,4860
309,26892,5060,0,1388,4852
310,27296,5056,0,1380,4852
311,27844,5048,0,1380,4856
312,28980,5052,0,1428,4852
313,29264,5052,0,1396,4836
314,29368,5052,0,1412,4860
315,29500,5052,0,1424,4844
316,29888,5052,0,1368,4840
317,30100,5052,0,1368,4864
318,30464,5052,0,1388,4856
319,30600,5052,0,1396,4860
320,30764,5044,0,1408,4880
321,30960,5032,28,1372,4884
322,31392,5044,124,1352,4896
323,31860,5048,300,1356,4892
324,32280,5044,560,1348,4872
325,32548,5044,856,1340,4880
326,32864,5028,1208,1360,4892
327,33220,5036,1552,1392,4872
328,33456,5040,1840,1408,4880
329,33564,5012,2080,1444,4868
330,33820,4984,2328,1476,4896
331,34124,4940,2520,1472,4892
332,34620,4796,2692,1500,4880
333,35184,4440,2780,1428,4900
334,35580,4560,2860,1428,4872
335,35656,4824,2880,1384,4872
336,35524,5100,2912,1360,4896
337,35284,5380,2912,1364,4900
338,35216,5460,2844,1404,4896
339,35028,5464,2764,1364,4912
340,35076,5436,2612,1432,4896
341,34940,5468,2336,1400,4900
342,35096,5472,2092,1360,4888
343,35160,5432,1864,1348,4884
344,35008,5456,1684,1392,4888
345,34568,5512,1480,1404,4892
346,33916,5512,1276,1372,4884
347,33596,5520,1044,1372,4896
348,32948,5524,832,1428,4888
349,32504,5520,628,1456,4884
350,32396,5668,412,1428,4896
351,32204,5940,208,1376,4896
352,32276,5940,80,1376,4892
353,31796,5940,28,1388,4896
354,31572,5908,4,1388,4896
355,31164,5924,0,1452,4904
356,30768,5888,0,1396,4884
357,30696,5824,0,1404,4888
358,30596,5680,0,1400,4908
359,30400,5488,0,1520,4900
360,30028,5276,0,1564,4904
361,29560,5100,0,1556,4904
362,29144,4912,0,1508,4916
363,28592,4676,0,1476,4920
364,28172,4432,0,1484,4928
365,27780,4260,0,1504,4924
366,26984,4160,0,1524,4920
367,26508,4056,0,1440,4916
368,26044,3976,0,1400,4928
369,25492,3848,0,1388,4928
370,24864,3596,0,1404,4900
371,24304,3428,0,1396,4908
372,23636,3072,0,1436,4908
373,22852,2816,0,1444,4916
374,22264,2624,0,1456,4916
375,21288,2440,0,1436,4924
376,20404,2264,0,1440,4896
377,19712,2236,0,1448,4904
378,19056,2292,0,1440,4904
379,18312,2240,0,1432,4912
380,17832,2112,0,1404,4896
381,17316,2060,0,1380,4908
382,16716,2088,0,1424,4900
383,16300,2056,0,1400,4880
384,15660,2020,0,1380,4856
385,15184,1832,0,1376,4856
386,14708,1840,0,1416,4836
387,14216,1764,0,1396,4844
388,13836,1644,0,1396,4816
389,13560,1572,0,1380,4796
390,13376,1480,0,1376,4820
391,13004,1332,0,1392,4836
392,12532,1272,0,1412,4824
393,12252,1172,0,1404,4836
394,12104,1180,0,1388,4824
395,11756,1212,0,1368,4816
396,11260,1284,0,1380,4828
397,11112,1292,0,1372,4824
398,11044,1184,0,1376,4828
399,10836,1172,0,1360,4820
400,10340,1300,0,1368,4812
401,10072,1480,0,1368,4816
402,9864,1604,0,1360,4812
403,9820,1756,0,1356,4796
404,9684,1864,0,1360,4804
405,9380,2024,0,1356,4792
406,8904,2124,0,1344,4804
407,8756,2292,0,1348,4812
408,8748,2216,0,1352,4812
409,8612,2260,0,1344,4836
410,8384,2344,0,1352,4828
411,8308,2408,0,1352,4812
412,8100,2468,0,1344,4824
413,7812,2548,0,1340,4836
414,7632,2672,0,1336,4832
415,7380,2716,0,1336,4840
416,7172,2820,4,1320,4844
417,6892,2960,44,1324,4856
418,6700,3120,200,1332,4868
419,6624,3232,464,1376,4868
420,6600,3312,968,1324,4848
421,6508,3328,1624,1308,4836
422,6132,3436,2272,1324,4840
423,5912,3556,2956,1344,4860
424,5756,3620,3444,1320,4860
425,5632,3848,3912,1320,4868
426,5416,4028,4380,1316,4868
427,5324,4144,4848,1312,4868
428,5236,4340,4992,1340,4868
429,5220,4472,5244,1368,4876
430,5224,4608,5420,1364,4864
431,5220,4740,5524,1364,4848
432,5172,4632,5548,1368,4828
433,5232,4620,5484,1316,4772
434,5172,4588,5268,1312,4760
435,5244,4528,5032,1312,4772
436,5312,4512,4788,1312,4756
437,5396,4616,4480,1292,4720
438,5376,4828,4116,1296,4704
439,5412,4944,3788,1284,4704
440,5504,4844,3380,1284,4696
441,5660,4788,2936,1280,4680
442,5920,4764,2496,1300,4724
443,6112,4980,2012,1288,4700
444,6380,4820,1568,1316,4724
445,6848,4532,1144,1288,4704
446,7164,4688,732,1280,4704
447,7632,4856,392,1280,4708
448,7920,4940,164,1280,4724
449,8368,5112,48,1280,4768
450,8704,5072,8,1292,4804
451,9232,4952,0,1340,4832
452,9700,5040,0,1340,4872
453,9928,5224,0,1352,4912
454,10344,5276,0,1348,4900
455,10848,5196,0,1348,4892
456,11172,5268,0,1348,4904
457,10968,5324,0,1340,4896
458,10908,5364,0,1344,4876
459,11204,5432,0,1344,4904
460,11384,5136,0,1384,4916
461,11236,5084,0,1368,4900
462,11156,5336,0,1336,4916
463,11332,5456,0,1316,4904
464,11440,5496,0,1348,4900
465,11676,5532,0,1348,4872
466,11948,5712,0,1348,4900
467,12004,5828,0,1348,4904
468,12180,5696,0,1364,4916
469,12200,5696,0,1360,4928
470,12420,5672,0,1352,4920
471,12544,5728,0,1340,4920
472,12152,5856,0,1312,4904
473,12168,5888,0,1324,4900
474,12088,5932,0,1332,4888
475,12024,5788,0,1332,4888
476,12028,5788,0,1316,4816
477,11892,5848,0,1308,4836
478,12024,5856,0,1320,4856
479,12128,5960,0,1300,4884
480,12168,5976,0,1320,4872
481,12212,6000,0,1312,4868
482,12336,5992,0,1312,4864
483,12160,6040,0,1328,4860
484,12056,5860,0,1332,4856
485,11964,5708,0,1336,4860
486,11756,5780,0,1316,4864
487,11628,5848,0,1304,4844
488,11580,5776,0,1340,4836
489,11464,5732,0,1320,4808
490,11424,5724,0,1324,4832
491,11428,5696,0,1328,4832
492,11276,5628,0,1336,4840
493,11020,5780,0,1304,4844
494,10900,5936,0,1284,4824
495,10828,5996,0,1272,4824
496,10960,6008,0,1280,4828
497,10728,6024,0,1316,4816
498,10528,6148,0,1288,4828
499,10468,6188,0,1308,4828
500,10324,6168,0,1324,4832
501,10392,6120,0,1268,4832
502,10204,6108,0,1324,4816
503,9940,6052,0,1336,4808
504,9812,5912,0,1264,4800
505,9748,5864,0,1304,4816
506,9668,5880,0,1316,4808
507,9508,5824,0,1372,4812
508,9220,5784,0,1316,4824
509,9104,5604,0,1300,4840
510,8952,5464,0,1300,4840
511,8888,5304,0,1368,4836
512,8776,5060,8,1336,4836
513,8804,5040,104,1308,4840
514,8844,5084,360,1308,4812
515,8836,5096,796,1332,4796
516,8816,5036,1392,1336,4788
517,8708,4976,2032,1332,4816
518,8660,5096,2712,1308,4824
519,8788,5204,3312,1304,4840
520,8760,5352,3964,1268,4856
521,8480,5452,4628,1264,4872
522,8228,5456,5176,1284,4864
523,7932,5356,5820,1292,4868
524,7720,5348,6372,1296,4856
525,7652,5400,6832,1300,4860
526,7664,5456,7244,1332,4848
527,7524,5600,7612,1284,4860
528,7376,5672,7928,1372,4852
529,7280,5948,8020,1336,4848
530,7144,6020,7960,1352,4860
531,6980,6008,7968,1336,4860
532,6900,6080,7936,1344,4836
533,6780,6240,7732,1288,4836
534,6692,6320,7396,1256,4836
535,6684,6352,7028,1260,4852
536,6636,6304,6524,1268,4828
537,6468,6300,5904,1308,4836
538,6464,6320,5176,1312,4844
539,6456,6240,4432,1332,4844
540,6476,6188,3612,1264,4844
541,6560,6256,2764,1264,4844
542,6700,6264,1924,1272,4856
543,6936,6316,1156,1252,4864
544,7300,6372,564,1236,4832
545,7868,6504,188,1276,4840
546,8472,6532,32,1256,4856
547,9092,6468,4,1284,4872
548,9596,6400,0,1364,4860
549,10016,6380,0,1368,4852
550,10468,6340,0,1320,4856
551,11024,6260,0,1320,4864
552,11320,6220,0,1324,4868
553,11720,6268,0,1320,4876
554,12160,6300,0,1316,4880
555,12452,6272,0,1316,4888
556,12824,5988,0,1352,4892
557,13060,5964,0,1364,4908
558,13276,5936,0,1340,4892
559,13716,5888,0,1316,4900
560,14060,5856,0,1336,4896
561,14316,5848,0,1356,4880
562,14380,5856,0,1360,4872
563,14604,5840,0,1312,4880
564,14876,5784,0,1392,4908
565,15056,5764,0,1344,4896
566,15348,5816,0,1316,4896
567,15696,5752,0,1336,4896
568,15480,5652,0,1392,4888
569,15656,5628,0,1356,4868
570,15812,5632,0,1344,4868
571,16028,5576,0,1328,4864
572,16080,5596,0,1364,4864
573,16028,5612,0,1348,4852
574,15968,5656,0,1352,4832
575,16104,5752,0,1352,4844
576,16228,5804,0,1348,4836
577,16292,5812,0,1352,4824
578,16504,5864,0,1340,4812
579,16368,5876,0,1324,4812
580,16092,5856,0,1340,4796
581,16060,5812,0,1328,4772
582,15832,5840,0,1340,4808
583,15588,5780,0,1332,4808
584,15676,5712,0,1356,4812
585,15892,5564,0,1356,4816
586,16052,5244,0,1356,4804
587,16200,5128,0,1356,4808
588,16288,4980,0,1356,4796
589,16552,4836,0,1336,4796
590,16912,4888,0,1316,4808
591,17084,4844,0,1260,4804
592,17024,4784,0,1336,4796
593,16764,4700,0,1368,4792
594,16616,4824,0,1416,4788
595,16508,4836,0,1376,4792
596,16424,4884,0,1344,4780
597,16240,4980,0,1360,4780
598,16224,5020,0,1336,4800
599,16144,4928,0,1308,4788
600,16176,4888,0,1276,4776
601,15936,4824,0,1388,4772
602,15884,4508,0,1428,4768
603,15804,4312,0,1392,4756
604,15600,4292,0,1372,4776
605,15404,4088,0,1440,4780
606,15272,3944,0,1380,4776
607,15064,3728,0,1352,4792
608,14984,3472,4,1284,4792
609,14732,3016,52,1408,4808
610,14292,2644,144,1480,4816
611,13724,2440,280,1488,4812
612,13172,2248,504,1456,4784
613,12716,2096,800,1456,4780
614,12168,1908,1076,1576,4800
615,11880,1664,1280,1560,4796
616,11600,1700,1496,1356,4796
617,11244,1952,1720,1408,4792
618,10784,2092,1904,1428,4800
619,10460,2124,2120,1464,4804
620,10060,2196,2332,1452,4808
621,9692,2272,2564,1412,4804
622,9420,2736,2728,1376,4824
623,9424,3328,2924,1328,4832
624,9368,3932,3124,1456,4836
625,9560,4448,3216,1400,4828
626,9856,4792,3320,1328,4832
627,10028,5156,3280,1304,4840
628,10048,5344,3340,1348,4856
629,10380,5456,3288,1356,4872
630,10428,5744,3204,1352,4872
631,10508,5952,3048,1304,4868
632,10508,6104,2836,1404,4880
633,10680,6020,2556,1360,4872
634,10652,6072,2192,1352,4884
635,10496,6128,1840,1344,4880
636,10468,6128,1440,1348,4888
637,10600,6180,1076,1348,4876
638,11000,6288,740,1352,4888
639,11200,6220,456,1352,4876
640,11556,6208,224,1380,4884
641,11780,6256,84,1424,4880
642,12168,6272,16,1484,4876
643,12608,6316,4,1496,4856
644,13232,6356,0,1472,4856
645,14124,6360,0,1484,4852
646,14912,6364,0,1464,4868
647,15628,6300,0,1480,4880
648,16248,6340,0,1480,4888
649,16952,5920,0,1508,4876
650,17748,5224,0,1540,4888
651,18264,5256,0,1560,4888
652,18764,5324,0,1588,4892
653,19400,5284,0,1452,4884
654,20068,5196,0,1388,4868
655,20644,4860,0,1384,4880
656,21132,4812,0,1408,4880
657,21716,4752,0,1388,4872
658,21992,4812,0,1392,4856
659,22456,4872,0,1404,4884
660,22780,4856,0,1408,4876
661,22852,4888,0,1412,4876
662,22608,4880,0,1412,4872
663,22884,4884,0,1404,4856
664,22448,4908,0,1416,4848
665,22628,4924,0,1444,4840
666,22836,4964,0,1436,4844
667,22884,4988,0,1428,4860
668,23136,5000,0,1444,4852
669,23456,4996,0,1488,4848
670,23896,4996,0,1472,4836
671,24024,5000,0,1456,4840
672,24304,5012,0,1464,4816
673,24800,5016,0,1512,4812
674,25080,5016,0,1448,4812
675,25276,5020,0,1464,4804
676,25344,5020,0,1580,4792
677,25608,5024,0,1540,4772
678,26024,5024,0,1504,4768
679,26112,5024,0,1492,4788
680,26212,5028,0,1508,4800
681,26168,5028,0,1532,4804
682,26284,5032,0,1516,4808
683,26448,5036,0,1516,4804
684,26472,5036,0,1544,4800
685,26348,5032,0,1512,4804
686,26160,5020,0,1508,4796
687,25976,5008,0,1540,4792
688,25736,5068,0,1516,4784
689,25620,5176,0,1552,4772
690,25640,5220,0,1564,4772
691,25564,5476,0,1592,4776
692,25600,5480,0,1528,4760
693,25444,5488,0,1560,4768
694,25244,5492,0,1476,4756
695,25072,5496,0,1480,4756
696,25420,5496,0,1524,4776
697,25420,5496,0,1516,4764
698,25404,5492,0,1548,4784
699,25276,5492,0,1484,4796
700,25288,5524,0,1512,4800
701,25420,5784,0,1444,4800
702,25504,6044,0,1432,4800
703,25736,6120,0,1456,4800
704,25560,6104,4,1400,4796
705,25244,6096,52,1436,4812
706,25144,6088,108,1496,4812
707,24980,6140,212,1416,4792
708,24836,6344,372,1392,4784
709,24856,6408,548,1376,4772
710,24956,6456,760,1380,4788
711,25024,6612,956,1372,4812
712,24796,6568,1132,1444,4804
713,24596,6488,1348,1476,4820
714,24372,6468,1520,1408,4820
715,24260,6344,1700,1360,4816
716,24208,6216,1816,1400,4824
717,23972,6064,1972,1376,4836
718,23604,6096,2040,1440,4848
719,23364,5716,2072,1500,4864
720,23032,5628,2096,1376,4852
721,22648,5540,2096,1380,4864
722,22324,5404,2052,1392,4856
723,22004,5152,1964,1392,4880
724,21560,4988,1892,1424,4876
725,21020,4700,1804,1396,4876
726,20996,4736,1700,1380,4892
727,20636,4624,1560,1380,4880
728,19832,4592,1452,1440,4884
729,19200,4512,1316,1432,4884
730,18488,4612,1176,1428,4884
731,17984,4464,988,1420,4888
732,17556,4152,852,1440,4880
733,17068,3848,652,1500,4884
734,16528,3628,440,1488,4876
735,15884,3496,244,1504,4888
736,15324,3368,96,1428,4884
737,14824,3200,20,1436,4880
738,14544,2960,0,1536,4884
739,14032,2768,0,1644,4888
740,13728,2588,0,1436,4868
741,13316,2504,0,1480,4880
742,13084,2388,0,1524,4888
743,12724,2288,0,1556,4868
744,12536,2212,0,1484,4884
745,12408,2072,0,1404,4860
746,12344,2032,0,1452,4860
747,12120,2004,0,1484,4868
748,11820,1992,0,1436,4856
749,11712,2012,0,1416,4876
750,11484,2072,0,1404,4868
751,11260,2036,0,1400,4868
752,11068,2004,0,1448,4880
753,10900,1880,0,1416,4868
754,10692,1812,0,1432,4864
755,10508,1844,0,1412,4868
756,10316,1788,0,1444,4888
757,10100,1684,0,1420,4896
758,9840,1512,0,1416,4888
759,9636,1448,0,1412,4888
760,9356,1396,0,1452,4872
761,9112,1344,0,1464,4888
762,8740,1356,0,1476,4872
763,8260,1412,0,1444,4872
764,7828,1420,0,1460,4864
765,7464,1412,0,1424,4848
766,7316,1300,0,1528,4848
767,7292,1124,0,1436,4848
768,7020,1076,0,1556,4844
769,6700,1032,0,1532,4848
770,6360,940,0,1476,4840
771,6220,844,0,1480,4852
772,6020,812,0,1528,4836
773,6132,676,0,1476,4808
774,6240,580,0,1476,4816
775,6240,516,0,1472,4816
776,6240,472,0,1524,4836
777,6344,480,0,1476,4824
778,6488,448,0,1460,4836
779,6680,424,0,1456,4836
780,7080,300,0,1456,4828
781,7436,256,0,1456,4832
782,7660,300,0,1448,4836
783,7888,312,0,1460,4840
784,8188,376,0,1500,4832
785,8564,520,0,1520,4816
786,8812,712,0,1476,4816
787,9136,848,0,1488,4808
788,9512,828,0,1492,4820
789,10032,880,0,1476,4828
790,10540,924,0,1492,4828
791,10836,1032,0,1584,4820
792,11556,1268,0,1548,4824
793,12200,1444,0,1484,4812
794,12776,1364,0,1440,4816
795,13496,1724,0,1424,4788
796,14212,1992,0,1412,4812
797,14740,2212,0,1420,4816
798,15376,2584,0,1416,4820
799,16076,2912,0,1412,4820
800,16768,3288,4,1396,4820
801,17620,3604,64,1380,4832
802,18096,4060,200,1372,4844
803,18876,4536,428,1364,4824
804,19632,5068,760,1348,4812
805,20040,5456,1100,1356,4812
806,20660,5576,1524,1336,4828
807,21004,5640,1976,1348,4828
808,21440,5748,2468,1404,4828
809,22080,5804,2976,1332,4840
810,22788,5808,3408,1348,4856
811,23460,5884,3784,1336,4856
812,23744,5876,4084,1408,4844
813,24136,5728,4268,1340,4844
814,24492,5772,4512,1324,4840
815,24764,5816,4800,1324,4856
816,25160,5916,5068,1328,4856
817,25272,5924,5208,1336,4876
818,25640,5936,5296,1348,4892
819,25948,5984,5288,1352,4892
820,26056,6000,5276,1364,4872
821,26332,5944,5104,1348,4856
822,26564,5924,4908,1368,4868
823,26480,5976,4568,1356,4852
824,26084,6112,4272,1384,4872
825,25500,6224,3804,1412,4872
826,25324,6300,3244,1424,4896
827,25320,6304,2700,1408,4884
828,25552,6284,2160,1380,4876
829,25472,6308,1612,1376,4864
830,25232,6336,1116,1400,4868
831,25080,6332,676,1396,4868
832,24884,6328,372,1376,4884
833,24572,6320,148,1376,4864
834,24304,6288,36,1380,4864
835,24188,6256,4,1412,4860
836,23968,6260,0,1388,4836
837,23848,6276,0,1392,4836
838,23828,6268,0,1404,4864
839,23696,6284,0,1416,4876
840,23580,6292,0,1412,4876
841,23368,6268,0,1404,4876
842,23288,6224,0,1404,4856
843,23028,6192,0,1412,4872
844,22744,6188,0,1432,4884
845,22556,6212,0,1396,4872
846,22100,6224,0,1392,4880
847,22008,6196,0,1392,4872
848,21764,6172,0,1408,4888
849,21660,6088,0,1400,4884
850,21384,6012,0,1400,4888
851,20868,5996,0,1396,4872
852,20464,5824,0,1500,4892
853,20252,5324,0,1508,4896
854,19908,4764,0,1424,4892
855,19728,4296,0,1420,4880
856,19224,3776,0,1528,4888
