ID,Name,Node,Latitude,Longitude,Technology,Fuel,Commissioning,Capacity,Efficiency,Emission,Transport,Electrical Storage,CHP technology,CHP network,Power to heat factor,Electricity reduction,Max. heat 
BNA0084,Reuter,371,52.53,13.25,Steam turbine,Waste,1998,36,0.330,0.000,0.00,0,BKP,DH_DE_Berlin,0.36,,100
BNA0085a,Moabit,370,52.54,13.35,Steam turbine,Hard coal,1990,89,0.400,0.850,1.23,0,EXT,DH_DE_Berlin,0.50,0.15,136
BNA0085b,Moabit,370,52.54,13.35,Gas turbine,Oil(light),1971,51,0.305,0.873,0.00,0,,,,,
BNA0086,Reuter West,371,52.54,13.24,Steam turbine,Hard coal,1987,282,0.393,0.866,1.25,0,EXT,DH_DE_Berlin,0.48,0.15,363
BNA0087,Reuter West,371,52.54,13.24,Steam turbine,Hard coal,1988,282,0.395,0.861,1.24,0,EXT,DH_DE_Berlin,0.48,0.15,363
BNA0088a,Industriekraftwerk Bernburg (IKB),373,51.80,11.75,Combined cycle,Natural gas,1994,35,0.330,0.612,0.00,0,BKP,DH_DE_Ind,0.45,,78
BNA0088b,Dampfturbinenanlage der EBS-Kessel,373,51.80,11.75,Combined cycle,Waste,2010,66,0.513,0.000,0.00,0,BKP,DH_DE_Ind,1.25,,53
BNA0093,Kraftwerk Bexbach,244,49.36,7.24,Steam turbine,Hard coal,1983,721,0.383,0.889,3.85,0,,,,,
BNA0097,MVA Bielefeld,213,52.04,8.61,Steam turbine,Waste,1981,34,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.32,,106
BNA0098,HKW Schildescher Straße,214,52.03,8.54,Steam turbine,Natural gas,1978,23,0.361,0.559,0.00,0,EXT,DH_DE_Rem,0.50,0.00,46
BNA0099,Gasturbinenkraftwerk Bielefeld Ummeln,211,51.98,8.45,Gas turbine,Natural gas,1975,55,0.315,0.641,0.00,0,,,,,
BNA0100,GuD Kraftwerk Hillegossen,214,52.03,8.54,Combined cycle,Natural gas,2005,37.5,0.563,0.359,0.00,0,EXT,DH_DE_Rem,1.50,0.17,22
BNA0101,HKW Schildescher Straße,214,52.03,8.54,Steam turbine,Natural gas,1966,41,0.348,0.581,0.00,0,EXT,DH_DE_Rem,0.39,0.15,87
BNA0105,GuD Bitterfeld,337,51.63,12.30,Combined cycle,Natural gas,2000,106,0.540,0.374,0.00,0,EXT,DH_DE_Ind,0.79,0.17,110
BNA0110,Bochum,89,51.48,7.22,Steam turbine,Natural gas,2004,20.7,0.389,0.518,0.00,0,BKP,DH_DE_Gelsenkirchen,0.48,,43
BNA0111,HKW Hiltrop,122,51.51,7.25,Steam turbine,Natural gas,2014,44,0.400,0.504,0.00,0,EXT,DH_DE_Gelsenkirchen,0.20,0.00,220
BNA0115,Lippendorf,344,51.18,12.37,Steam turbine,Lignite,2000,875,0.400,0.908,0.00,0,EXT,DH_DE_Rem,0.60,0.15,449
BNA0116,Braunkohlekraftwerk Lippendorf,344,51.18,12.37,Steam turbine,Lignite,1999,875,0.398,0.914,0.00,0,EXT,DH_DE_Ind,0.40,0.15,449
BNA0117a,Heizkraftwerk Karlstraße,445,50.73,7.08,Steam turbine,Waste,1991,12,0.330,0.000,0.00,0,BKP,DH_DE_Rem,0.34,,35
BNA0117b,Heizkraftwerk Karlstraße,445,50.73,7.08,Steam turbine,Natural gas,2013,95,0.399,0.505,0.00,0,EXT,DH_DE_Rem,0.55,0.15,136
BNA0122,Boxberg,354,51.42,14.56,Steam turbine,Lignite,1979,465,0.383,0.948,0.00,0,EXT,DH_DE_Rem,0.60,0.15,238
BNA0123,Boxberg,354,51.42,14.56,Steam turbine,Lignite,1980,465,0.386,0.942,0.00,0,EXT,DH_DE_Rem,0.45,0.15,238
BNA0124,Boxberg,354,51.42,14.56,Steam turbine,Lignite,2000,857,0.400,0.908,0.00,0,,0,,,
BNA0129,HKW,358,51.51,13.97,Steam turbine,Natural gas,1997,36,0.382,0.529,0.00,0,BKP,DH_DE_Rem,0.65,,55
BNA0130,Kirchmöser,372,52.39,12.42,Combined cycle,Natural gas,1994,160,0.513,0.393,0.00,0,,,,,
BNA0135,HKW-Mitte,133,52.28,10.51,Combined cycle,Natural gas,1971,20,0.410,0.493,0.00,0,EXT,DH_DE_Rem,0.50,0.00,40
BNA0136,HKW-Mitte,133,52.28,10.51,Combined cycle,Natural gas,2010,74,0.585,0.345,0.00,0,EXT,DH_DE_Rem,1.06,0.17,60
BNA0137,HKW-Nord,133,52.28,10.51,Gas turbine,Natural gas,1965,25,0.289,0.698,0.00,0,EXT,DH_DE_Rem,0.31,0.00,80
BNA0138,HKW-Mitte,133,52.28,10.51,Combined cycle,Hard coal,1984,43.3,0.468,0.727,1.05,0,EXT,DH_DE_Ind,0.20,0.15,124
BNA0139,KW Hafen,399,53.12,8.73,Steam turbine,Waste,2009,33,0.330,0.000,0.00,0,,,,,
BNA0141,KW Mittelsbüren,399,53.13,8.69,Gas turbine,Oil(light),1974,88,0.312,0.851,0.00,0,,,,,
BNA0142,KW Mittelsbüren,399,53.13,8.69,Steam turbine,Other fuels,1975,160,0.330,0.000,0.00,0,,,,,
BNA0144,KW Hastedt,401,53.06,8.87,Steam turbine,Hard coal,1989,119,0.398,0.856,0.62,0,EXT,DH_DE_Rem,0.48,0.15,155
BNA0146,KW Hafen,399,53.12,8.73,Steam turbine,Hard coal,1979,300,0.373,0.913,0.66,0,,,,,
BNA0147,Farge,402,53.20,8.52,Steam turbine,Hard coal,1969,350,0.443,0.769,0.56,0,,,,,
BNA0156b,Egger Kraftwerk Briilon,209,51.41,8.60,Gas turbine,Natural gas,1996,13.5,0.370,0.546,0.00,0,EXT,DH_DE_Ind,0.65,0.00,21
BNA0157,Brokdorf,429,53.85,9.35,Steam turbine,Nuclear,1986,1410,0.330,0.000,0.00,0,,,,,
BNA0161,Brunsbüttel,430,53.89,9.20,Gas turbine,Oil(light),1973,63.5,0.310,0.859,0.00,0,,,,,
BNA0162,Brunsbüttel,430,53.89,9.20,Gas turbine,Oil(light),1973,63.5,0.310,0.859,0.00,0,,,,,
BNA0163,Brunsbüttel,430,53.89,9.20,Gas turbine,Oil(light),1973,63.5,0.310,0.859,0.00,0,,,,,
BNA0164,Brunsbüttel,430,53.89,9.20,Gas turbine,Oil(light),1973,63.5,0.310,0.859,0.00,0,,,,,
BNA0174,Industriepark Werk Gendorf,315,48.18,12.73,Steam turbine,Natural gas,2002,49,0.387,0.521,0.00,0,BKP,DH_DE_Ind,1.50,,33
BNA0177,HKW Chemnitz  Nord II,349,50.86,12.92,Steam turbine,Lignite,1988,56.8,0.371,0.979,0.00,0,EXT,DH_DE_Rem,0.20,0.15,162
BNA0178,HKW Chemnitz  Nord II,349,50.86,12.92,Steam turbine,Natural gas,1986,57.2,0.370,0.546,0.00,0,EXT,DH_DE_Rem,0.20,0.15,165
BNA0179,HKW Chemnitz  Nord II,349,50.86,12.92,Steam turbine,Lignite,1990,90.8,0.424,0.857,0.00,0,EXT,DH_DE_Rem,0.45,0.15,140
BNA0183,HKW Cottbus,357,51.76,14.37,Steam turbine,Lignite,1999,74,0.398,0.914,0.00,0,EXT,DH_DE_Rem,0.48,0.15,117
BNA0194,Kraftwerk Dessau,337,51.83,12.23,Steam turbine,Lignite,1996,49,0.390,0.931,0.00,0,EXT,DH_DE_Rem,0.48,0.15,78
BNA0196,Deuben,341,51.11,12.08,Steam turbine,Lignite,1936,67,0.246,1.474,0.00,0,EXT,DH_DE_Rem,0.35,0.15,134
BNA0199,Dormagen,171,51.08,6.83,Combined cycle,Natural gas,2000,586.3,0.540,0.374,0.00,0,EXT,DH_DE_Ind,1.05,0.17,480
BNA0202,Dortmund,121,51.52,7.48,Steam turbine,Natural gas,2004,26,0.389,0.518,0.00,0,EXT,DH_DE_Ind,1.50,0.17,16
BNA0203,Knepper,153,51.57,7.35,Steam turbine,Hard coal,1971,345,0.353,0.965,2.79,0,,,,,
BNA0207,HKW Dresden-Nossener Brücke,351,51.04,13.71,Combined cycle,Natural gas,1995,263,0.518,0.390,0.00,0,BKP,DH_DE_Dresden,0.58,,455
BNA0211,HKW I,14,51.43,6.75,Steam turbine,Hard coal,1985,95,0.388,0.878,2.54,0,EXT,DH_DE_Rem,0.48,0.15,139
BNA0213,HKW III/A,100,51.39,6.75,Steam turbine,Natural gas,2002,40,0.387,0.521,0.00,0,EXT,DH_DE_Rem,1.50,0.17,24
BNA0214,HKW III/B,100,51.39,6.75,Combined cycle,Natural gas,2005,234,0.563,0.359,0.00,0,EXT,DH_DE_Rem,1.23,0.17,167
BNA0216a,KW Walsum,142,51.53,6.72,Steam turbine,Hard coal,1988,370,0.395,0.861,2.49,0,EXT,DH_DE_Rem,0.48,0.15,295
BNA0216b,KW Walsum,142,51.53,6.72,Steam turbine,Hard coal,2013,725,0.458,0.743,2.15,0,,,,,
BNA0217,Duisburg Ruhrort 2,14,51.46,6.73,Steam turbine,Other fuels,1955,60,0.330,0.000,0.00,0,,,,,
BNA0218,Duisburg Ruhrort 3,14,51.46,6.73,Steam turbine,Other fuels,1963,90,0.330,0.000,0.00,0,,,,,
BNA0219,Duisburg Ruhrort 4,14,51.46,6.73,Steam turbine,Other fuels,1968,165,0.330,0.000,0.00,0,,,,,
BNA0220,GuD,115,51.22,6.73,Combined cycle,Natural gas,2000,100,0.540,0.374,0.00,0,EXT,DH_DE_Rem,1.16,0.17,75
BNA0221a,GT,115,51.22,6.73,Gas turbine,Natural gas,1974,64.7,0.312,0.646,0.00,0,,,,,
BNA0221b,GT,115,51.22,6.73,Gas turbine,Natural gas,1974,66.7,0.312,0.646,0.00,0,,,,,
BNA0221c,Gasblock,115,51.22,6.73,Steam turbine,Natural gas,1976,293,0.359,0.563,0.00,0,EXT,DH_DE_Rem,0.92,0.17,149
BNA0222,GT,117,51.22,6.81,Gas turbine,Oil(light),1977,86.2,0.320,0.831,0.00,0,,,,,
BNA0223b,DT,117,51.22,6.81,Steam turbine,Waste,2000,53.7,0.330,0.000,0.00,0,EXT,DH_DE_Rem,0.45,0.15,90
BNA0232c,Werkskraftwerk Sappi Ehingen,297,48.27,9.73,Steam turbine,Natural gas,1976,4,0.359,0.563,0.00,0,EXT,DH_DE_Rem,0.50,0.00,8
BNA0233,Kombikraftwerk,345,51.47,12.59,Steam turbine,Natural gas,1993,46.6,0.377,0.535,0.00,0,EXT,DH_DE_Rem,0.48,0.15,74
BNA0237,EBS-Heizkraftwerk,356,52.17,14.64,Steam turbine,Other fuels,2011,23.5,0.330,0.000,0.00,0,EXT,DH_DE_Rem,0.45,0.15,39
BNA0238a,IKW,356,52.17,14.63,Steam turbine,Other fuels,1953,45,0.330,0.000,0.00,0,EXT,DH_DE_Ind,0.28,0.15,105
BNA0238b,IKW,356,52.17,14.63,Steam turbine,Other fuels,2013,56,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.45,,124
BNA0239,Huntorf,403,53.19,8.41,Gas turbine,Natural gas,1978,321,0.396,0.510,0.00,0,,,,,
BNA0243,HKW Eltmann,81,49.98,10.65,Steam turbine,Natural gas,2008,57,0.394,0.512,0.00,0,EXT,DH_DE_Ind,0.55,0.15,81
BNA0245a,Emden Gas,409,53.34,7.21,Gas turbine,Natural gas,1973,50,0.355,0.568,0.00,0,,,,,
BNA0251,Grohnde,217,52.04,9.41,Steam turbine,Nuclear,1985,1360,0.330,0.000,0.00,0,,,,,
BNA0252,Kraftwerk Ensdorf,26,49.29,6.77,Steam turbine,Hard coal,2001,283,0.430,0.791,3.43,0,EXT,DH_DE_Saar,0.43,0.15,145
BNA0253,Kraftwerk Ensdorf,26,49.29,6.77,Steam turbine,Hard coal,1963,106,0.430,0.791,3.43,0,EXT,DH_DE_Saar,0.40,0.15,66
BNA0255,HKW Iderhoffstraße,333,50.98,11.05,Steam turbine,Natural gas,1996,11,0.381,0.530,0.00,0,BKP,DH_DE_Rem,0.48,,23
BNA0256a,HKW Erfurt-Ost,333,50.99,11.03,Combined cycle,Natural gas,2000,76.5,0.540,0.374,0.00,0,BKP,DH_DE_Rem,0.23,,333
BNA0256b,HKW Erfurt-Ost,333,50.99,11.03,Combined cycle,Natural gas,2014,32.6,0.603,0.335,0.00,0,EXT,DH_DE_Rem,0.55,0.15,47
BNA0261a,HKW Erlangen,324,49.59,11.00,Combined cycle,Natural gas,2005,21.6,0.563,0.359,0.00,0,EXT,DH_DE_Rem,1.50,0.17,13
BNA0261b,HKW Erlangen,324,49.59,11.00,Steam turbine,Hard coal,1980,17.4,0.375,0.907,5.90,0,BKP,DH_DE_Rem,0.20,,87
BNA0261c,HKW Erlangen,324,49.59,11.00,Combined cycle,Natural gas,2014,6.7,0.603,0.335,0.00,0,EXT,DH_DE_Rem,0.70,0.00,10
BNA0263,Isar 2,317,48.60,12.30,Steam turbine,Nuclear,1988,1410,0.330,0.000,0.00,0,,,,,
BNA0270,Heizkraftwerk FL,437,54.80,9.43,Steam turbine,Hard coal,1992,27,0.405,0.840,0.61,0,EXT,DH_DE_Rem,0.52,0.15,40
BNA0271,Heizkraftwerk FL,437,54.80,9.43,Steam turbine,Hard coal,1988,29,0.395,0.861,0.62,0,EXT,DH_DE_Rem,0.48,0.15,46
BNA0272,Heizkraftwerk FL,437,54.80,9.43,Steam turbine,Hard coal,1985,33,0.388,0.878,0.63,0,EXT,DH_DE_Rem,0.48,0.15,52
BNA0273,Heizkraftwerk FL,437,54.80,9.43,Steam turbine,Hard coal,1982,35,0.380,0.895,0.65,0,EXT,DH_DE_Rem,0.48,0.15,56
BNA0274,Heizkraftwerk FL,437,54.80,9.43,Steam turbine,Hard coal,1978,23,0.370,0.919,0.66,0,EXT,DH_DE_Rem,0.43,0.15,40
BNA0284,Heizkraftwerk FFO,356,52.35,14.55,Steam turbine,Lignite,1997,45,0.393,0.925,0.00,0,EXT,DH_DE_Rem,0.48,0.15,71
BNA0285,HKW Niederrad,195,50.09,8.63,Combined cycle,Natural gas,2005,70,0.563,0.359,0.00,0,EXT,DH_DE_Rem,0.41,0.17,120
BNA0286,HKW West,195,50.10,8.65,Gas turbine,Natural gas,1994,99,0.364,0.554,0.00,0,EXT,DH_DE_Rem,0.65,0.00,150
BNA0287a,MHKW Frankfurt,195,50.16,8.64,Steam turbine,Waste,1998,26,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.36,,72
BNA0287b,MHKW Frankfurt,195,50.16,8.64,Steam turbine,Waste,2006,46.5,0.330,0.000,0.00,0,EXT,DH_DE_Rem,0.29,0.15,105
BNA0288,HKW Niederrad,195,50.09,8.63,Combined cycle,Natural gas,1973,56,0.419,0.482,0.00,0,EXT,DH_DE_Rem,0.42,0.15,98
BNA0289a,HKW West,195,50.10,8.65,Steam turbine,Other fuels,1954,19.7,0.330,0.000,0.00,0,,,,,
BNA0289b,HKW West,195,50.10,8.65,Steam turbine,Hard coal,1989,61.5,0.398,0.856,3.09,0,EXT,DH_DE_Rem,0.48,0.15,98
BNA0290,HKW West,195,50.10,8.65,Steam turbine,Hard coal,1989,61.5,0.398,0.856,3.09,0,EXT,DH_DE_Rem,0.48,0.15,98
BNA0292,Frechen/Wachtberg,168,50.90,6.79,Steam turbine,Lignite,1959,118,0.371,0.979,0.00,0,EXT,DH_DE_Rem,0.32,0.15,251
BNA0293,GuD Anlage WVK,268,48.02,7.85,Combined cycle,Natural gas,1998,60.1,0.531,0.380,0.00,0,BKP,DH_DE_Ind,0.65,,92
BNA0313,Frimmersdorf,113,51.06,6.58,Steam turbine,Lignite,1966,284,0.376,0.966,0.00,0,EXT,DH_DE_Rem,0.28,0.15,654
BNA0314,Frimmersdorf,113,51.06,6.58,Steam turbine,Lignite,1970,278,0.376,0.966,0.00,0,,,,,
BNA0318,Kraftwerk Fulda,227,50.57,9.69,Steam turbine,Oil(light),2011,24.8,0.397,0.670,0.00,0,,,,,
BNA0331,Scholven,151,51.60,7.01,Steam turbine,Hard coal,1969,345,0.348,0.979,2.83,0,,,,,
BNA0332,Scholven,151,51.60,7.01,Steam turbine,Hard coal,1968,345,0.345,0.986,2.85,0,EXT,DH_DE_Gelsenkirchen,0.40,0.15,381
BNA0336,FWK Buer,151,51.60,7.00,Steam turbine,Hard coal,1985,70,0.388,0.878,2.54,0,EXT,DH_DE_Gelsenkirchen,0.20,0.15,200
BNA0343,Heizkraftwerk Gera-Nord,339,50.91,12.06,Steam turbine,Natural gas,1996,74,0.381,0.530,0.00,0,BKP,DH_DE_Ind,1.25,,59
BNA0354,HKW Göttingen,222,51.55,9.93,Steam turbine,Natural gas,1998,18.8,0.383,0.527,0.00,0,EXT,DH_DE_Rem,0.65,0.00,29
BNA0355,Grafenrheinfeld,231,49.98,10.18,Steam turbine,Nuclear,1982,1275,0.330,0.000,0.00,0,,,,,
BNA0360,"HKW ""Helmshäger Berg""",417,54.07,13.40,Gas turbine,Natural gas,1996,14.7,0.370,0.546,0.00,0,BKP,DH_DE_Rem,0.65,,23
BNA0361,Kraftwerk Grenzach-Wyhlen,80,47.54,7.71,Steam turbine,Natural gas,2004,40,0.389,0.518,0.00,0,EXT,DH_DE_Ind,0.70,0.00,57
BNA0369,Spitzenlastkraftwerk Sermuth,346,51.16,12.78,Steam turbine,Oil(light),1995,17,0.380,0.701,0.00,0,,,,,
BNA0373,Spitzenlastkraftwerk Großkayna,143,51.29,11.95,Gas turbine,Oil(light),1994,120,0.364,0.730,0.00,0,,,,,
BNA0374,Staudinger,192,50.09,8.95,Steam turbine,Natural gas,1977,622,0.360,0.561,0.00,0,,,,,
BNA0377,Staudinger,192,50.09,8.95,Steam turbine,Hard coal,1992,510,0.405,0.840,3.03,0,,,,,
BNA0378,Ingolstadt,313,48.76,11.50,Steam turbine,Oil(light),1973,386,0.355,0.749,0.00,0,EXT,DH_DE_Rem,0.43,0.17,643
BNA0379,Ingolstadt,313,48.76,11.50,Steam turbine,Oil(light),1974,386,0.356,0.746,0.00,0,EXT,DH_DE_Rem,0.43,0.17,643
BNA0380,EEW Großräschen,358,51.59,14.02,Steam turbine,Waste,2008,23.3,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.45,,52
BNA0381,Kernkraft Gundremmingen ,294,48.52,10.40,Steam turbine,Nuclear,1984,1284,0.330,0.000,0.00,0,,,,,
BNA0382,Kernkraft Gundremmingen ,294,48.52,10.40,Steam turbine,Nuclear,1984,1288,0.330,0.000,0.00,0,,,,,
BNA0386,Energiezentrum Mohn Media,211,51.91,8.41,Steam turbine,Natural gas,1994,22,0.378,0.533,0.00,0,BKP,DH_DE_Ind,0.65,,34
BNA0389,Heizkraftwerk Hagen-Kabel,178,51.41,7.49,Combined cycle,Natural gas,1980,230,0.558,0.362,0.00,0,EXT,DH_DE_Ind,0.92,0.17,211
BNA0392a,HKW Halle Trotha,143,51.48,11.96,Steam turbine,Natural gas,2005,97,0.391,0.517,0.00,0,BKP,DH_DE_Ind,1.25,,78
BNA0392b,HKW Halle Trotha,143,51.52,11.94,Combined cycle,Natural gas,2013,54,0.599,0.337,0.00,0,BKP,DH_DE_Rem,1.25,,43
BNA0395,Duisburg Hamborn 3,98,51.49,6.73,Steam turbine,Other fuels,1958,60,0.330,0.000,0.00,0,,0,,,
BNA0396,Duisburg Hamborn 4,98,51.49,6.73,Steam turbine,Other fuels,1976,100,0.330,0.000,0.00,0,EXT,DH_DE_Rem,0.32,0.15,213
BNA0397,Duisburg Hamborn 5,85,51.50,6.73,Combined cycle,Other fuels,2003,225,0.330,0.000,0.00,0,,0,,,
BNA0398,MVR Müllverwertung Rugenberger Damm GmbH & Co. KG,414,53.52,9.93,Steam turbine,Waste,1999,24,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.36,,67
BNA0400,GuD Tiefstack,415,53.53,10.07,Combined cycle,Natural gas,2009,127,0.581,0.348,0.00,0,EXT,DH_DE_Hamburg,0.58,0.17,170
BNA0401,Heizkraftwerk,414,53.52,9.95,Steam turbine,Natural gas,1992,22.5,0.376,0.536,0.00,0,BKP,DH_DE_Rem,0.65,,35
BNA0402,Tiefstack,415,53.53,10.06,Steam turbine,Hard coal,1993,194,0.408,0.835,0.60,0,BKP,DH_DE_Hamburg,0.24,,814
BNA0403,Wedel,410,53.57,9.72,Steam turbine,Hard coal,1962,123,0.408,0.835,0.60,0,EXT,DH_DE_Hamburg,0.52,0.15,63
BNA0404,Wedel,410,53.57,9.72,Steam turbine,Hard coal,1961,137,0.408,0.835,0.60,0,EXT,DH_DE_Hamburg,0.32,0.15,290
BNA0407,Enertec Hameln,217,52.10,9.39,Steam turbine,Waste,1912,14.7,0.330,0.000,0.00,0,BKP,DH_DE_Ind,0.32,,46
BNA0410,Trianel Gaskraftwerk ,65,51.67,7.93,Combined cycle,Natural gas,2008,417.1,0.576,0.350,0.00,0,,,,,
BNA0411,Trianel Gaskraftwerk ,65,51.67,7.93,Combined cycle,Natural gas,2008,420.9,0.576,0.350,0.00,0,,,,,
BNA0413a,Westfalen,36,51.68,7.97,Steam turbine,Hard coal,1969,284,0.348,0.979,2.83,0,,,,,
BNA0413c,Westfalen,36,51.68,7.97,Steam turbine,Hard coal,2014,765,0.460,0.739,2.14,0,,,,,
BNA0417,EEW Energy from Waste Hannover GmbH,383,52.41,9.85,Steam turbine,Waste,2005,22.5,0.330,0.000,0.00,0,,,,,
BNA0418,GKL,383,52.37,9.71,Combined cycle,Natural gas,2013,230,0.599,0.337,0.00,0,EXT,DH_DE_Rem,1.07,0.17,185
BNA0419,KWH,383,52.42,9.65,Steam turbine,Natural gas,1975,102,0.358,0.564,0.00,0,EXT,DH_DE_Rem,0.36,0.00,280
BNA0420,GKH,385,52.42,9.65,Steam turbine,Hard coal,1989,136,0.398,0.856,1.24,0,EXT,DH_DE_Rem,0.52,0.15,203
BNA0421,GKH,385,52.42,9.65,Steam turbine,Hard coal,1989,136,0.398,0.856,1.24,0,EXT,DH_DE_Rem,0.52,0.15,203
BNA0427,Kraftwerk Hausham,305,47.75,11.84,Gas turbine,Oil(light),1982,23.2,0.333,0.798,0.00,0,,,,,
BNA0428,Kraftwerk Hausham,305,47.75,11.84,Gas turbine,Oil(light),1982,23.2,0.333,0.798,0.00,0,,,,,
BNA0429,Kraftwerk Hausham,305,47.75,11.84,Gas turbine,Oil(light),1982,23.2,0.333,0.798,0.00,0,,,,,
BNA0430,Kraftwerk Hausham,305,47.75,11.84,Gas turbine,Oil(light),1982,23.2,0.333,0.798,0.00,0,,,,,
BNA0432,Heizkraftwerk Heilbronn,255,49.18,9.21,Steam turbine,Hard coal,1965,125,0.450,0.756,3.28,0,EXT,DH_DE_Rem,0.40,0.15,64
BNA0433,Heizkraftwerk Heilbronn,255,49.18,9.21,Steam turbine,Hard coal,1966,125,0.450,0.756,3.28,0,,0,,,
BNA0434,Heizkraftwerk Heilbronn,255,49.18,9.21,Steam turbine,Hard coal,1985,778,0.448,0.760,3.29,0,EXT,DH_DE_Rem,0.48,0.15,550
BNA0438,TRV Buschhaus,376,52.17,10.98,Steam turbine,Waste,1998,37.5,0.330,0.000,0.00,0,,,,,
BNA0439,Buschhaus,376,52.17,10.98,Steam turbine,Lignite,1985,352,0.364,0.998,0.00,0,,,,,
BNA0442,Cuno Heizkraftwerk Herdecke,177,51.40,7.42,Combined cycle,Natural gas,2007,417,0.572,0.353,0.00,0,,,,,
BNA0444,Wintershall,180,50.89,10.00,Combined cycle,Natural gas,1967,109.5,0.392,0.515,0.00,0,BKP,DH_DE_Ind,0.37,,299
